"label","redshift","ebv","filename"
"SDSS J010150.48-005352.8",0.5202,0.05216445,"data/spec-0670-52520-0055.fits" 
"SDSS J040401.59-065254.1",0.1705,0.08451294,"data/spec-0464-51908-0104.fits" 
"SDSS J070749.75+315611.9",0.2972,0.04331331,"data/spec-0541-51959-0104.fits" 
"SDSS J080818.64+304622.7",0.0766,0.048379205,"data/spec-1061-52641-0059.fits" 
"SDSS J080837.32+392633.1",0.0656,0.045533754,"data/spec-0545-52202-0250.fits" 
"SDSS J080827.45+054716.3",0.2748,0.08511066,"data/spec-1187-52708-0544.fits" 
"SDSS J090944.18+300922.0",0.1298,0.02680675,"data/spec-1938-53379-0309.fits" 
"SDSS J090946.03+283526.7",0.1422,0.023541857,"data/spec-1937-53388-0470.fits" 
"SDSS J090905.82+481338.5",0.3748,0.010192622,"data/spec-1005-52703-0164.fits" 
"SDSS J101021.26+013334.5",0.1436,0.039183047,"data/spec-0502-51957-0240.fits" 
"SDSS J101043.91+073850.6",0.1765,0.03269126,"data/spec-1237-52762-0002.fits" 
"SDSS J101002.48+072700.8",0.1563,0.024652962,"data/spec-0997-52734-0565.fits" 
"SDSS J101056.37+393941.0",0.1507,0.014547299,"data/spec-1432-53003-0274.fits" 
"SDSS J101002.40+300834.0",0.4966,0.022533033,"data/spec-1969-53383-0056.fits" 
"SDSS J101007.74+005543.3",0.6427,0.046056397,"data/spec-0275-51910-0579.fits" 
"SDSS J111151.03+065901.4",0.1815,0.03909972,"data/spec-1004-52723-0182.fits" 
"SDSS J111119.21+302825.4",0.5224,0.016117252,"data/spec-1979-53431-0078.fits" 
"SDSS J111130.89+310519.3",0.3097,0.017135022,"data/spec-1979-53431-0089.fits" 
"SDSS J111107.09+575605.4",0.3127,0.014839247,"data/spec-1309-52762-0449.fits" 
"SDSS J111139.76+605742.5",0.112,0.01140522,"data/spec-0775-52295-0012.fits" 
"SDSS J111147.14+342842.5",0.1915,0.023936393,"data/spec-2100-53713-0603.fits" 
"SDSS J111121.36+612001.2",0.1112,0.03768413,"data/spec-0776-52319-0099.fits" 
"SDSS J111132.99-030231.6",0.1245,0.023442816,"data/spec-0328-52282-0179.fits" 
"SDSS J111144.22+405946.0",0.539,0.018414687,"data/spec-1970-53386-0376.fits" 
"SDSS J111142.47+511029.6",0.13,0.016508756,"data/spec-0881-52368-0241.fits" 
"SDSS J111145.66+101623.8",0.0699,0.030565728,"data/spec-1227-52733-0429.fits" 
"SDSS J121224.95+044649.7",0.1354,0.017345825,"data/spec-0842-52376-0228.fits" 
"SDSS J121226.04+321314.7",0.4856,0.025707396,"data/spec-2095-53474-0115.fits" 
"SDSS J121209.83+124854.5",0.1945,0.02891336,"data/spec-1615-53166-0434.fits" 
"SDSS J121258.80+261619.5",0.1393,0.015024119,"data/spec-2236-53729-0247.fits" 
"SDSS J121237.83+353437.3",0.1605,0.015081405,"data/spec-2010-53495-0001.fits" 
"SDSS J121204.19+372300.1",0.2794,0.01607892,"data/spec-2000-53495-0011.fits" 
"SDSS J131328.76-005804.2",0.2455,0.02381304,"data/spec-0293-51689-0007.fits" 
"SDSS J131318.81+030807.1",0.2691,0.025204457,"data/spec-0526-52312-0616.fits" 
"SDSS J131322.44+463226.6",0.3628,0.019563247,"data/spec-1463-53063-0554.fits" 
"SDSS J131332.04+300744.6",0.2842,0.012043292,"data/spec-2110-53467-0018.fits" 
"SDSS J131351.22+654113.2",0.2063,0.0198918,"data/spec-0497-51989-0076.fits" 
"SDSS J131346.10+102609.0",0.1232,0.030774321,"data/spec-1702-53144-0121.fits" 
"SDSS J141431.58+021546.3",0.1797,0.03458657,"data/spec-0532-51993-0351.fits" 
"SDSS J141442.41+043050.9",0.2413,0.026179075,"data/spec-0582-52045-0119.fits" 
"SDSS J141445.73+353218.5",0.1654,0.014464236,"data/spec-1839-53471-0366.fits" 
"SDSS J141441.30+334107.8",0.1312,0.014260345,"data/spec-1646-53498-0165.fits" 
"SDSS J151509.20+335324.7",0.1353,0.020253457,"data/spec-1386-53116-0526.fits" 
"SDSS J151504.78+475024.8",0.1985,0.018767254,"data/spec-1167-52738-0299.fits" 
"SDSS J151544.12+343503.9",0.5514,0.026144397,"data/spec-1402-52872-0238.fits" 
"SDSS J161631.36+273643.0",0.1584,0.043785416,"data/spec-1392-52822-0610.fits" 
"SDSS J161619.15+464801.7",0.2156,0.025696054,"data/spec-0627-52144-0452.fits" 
"SDSS J171744.05+600835.6",0.1568,0.022173885,"data/spec-0353-51703-0568.fits" 
"SDSS J222245.94+010517.3",0.5293,0.08757335,"data/spec-0675-52590-0563.fits" 
"SDSS J222210.12-081234.4",0.1493,0.040237613,"data/spec-0724-52254-0405.fits" 
"SDSS J232313.16+004911.8",0.1698,0.03868913,"data/spec-0384-51821-0411.fits" 
